gene,score,logfoldchange,pvals_adj,cluster_detection_pct,rest_detection_pct,cluster_median,rest_median,rest_detection_high,identity_candidate
COX8A,4.0196886,2.6880248,0.015078971298338111,100.0,38.215613382899626,2.1048836708068848,0.0,False,True
CARHSP1,4.000791,3.4393754,0.015306956372272073,90.0,11.858736059479554,1.2317030429840088,0.0,False,True
OTUB1,3.961167,2.7775962,0.01733643241250482,100.0,15.87360594795539,1.0630662441253662,0.0,False,True
SNRPA,3.9569,3.4149854,0.017354779577074538,90.0,10.594795539033457,1.2760186195373535,0.0,False,True
HNRNPR,3.9306872,2.9583793,0.01864211302010239,100.0,20.44609665427509,1.4559016227722168,0.0,False,True
PDIA6,3.9280455,3.0766866,0.01864211302010239,90.0,23.605947955390334,1.8585526943206787,0.0,False,True
TXN,3.920324,3.1670923,0.018948891848612478,90.0,19.739776951672862,1.7984126806259155,0.0,False,True
HNRNPA3,3.9046776,2.9008472,0.01967100059244172,100.0,31.07806691449814,1.9042456150054932,0.0,False,True
ISOC2,3.9038649,4.0898156,0.01967100059244172,80.0,6.059479553903346,1.139165997505188,0.0,False,True
CKS1B,3.8945177,4.048698,0.020139995166175755,80.0,6.654275092936802,1.1572707891464233,0.0,False,True
HDGF,3.883545,3.6891477,0.020460593581748933,80.0,5.204460966542751,0.8312437534332275,0.0,False,True
ACAT1,3.8689146,3.7606666,0.02141753339300108,80.0,6.282527881040892,0.7937406897544861,0.0,False,True
COX5A,3.8626153,2.5807464,0.021668033290662882,100.0,34.75836431226766,1.8188306093215942,0.0,False,True
ARGLU1,3.832745,2.800768,0.023617508295668915,100.0,17.54646840148699,1.2991156578063965,0.0,False,True
TMEM208,3.8303068,3.0575895,0.023617508295668915,90.0,12.41635687732342,1.066032886505127,0.0,False,True
ERH,3.827462,2.630166,0.023617508295668915,100.0,33.56877323420074,1.8080599308013916,0.0,False,True
BIRC5,3.8231947,10.715253,0.023617508295668915,70.0,0.03717472118959108,0.9433853030204773,0.0,False,True
RRM2,3.8215692,10.067692,0.023617508295668915,70.0,0.18587360594795538,1.865236520767212,0.0,False,True
MKI67,3.8156765,9.132367,0.023878257986736488,70.0,0.14869888475836432,1.0481536388397217,0.0,False,True
GTF3C6,3.8099868,3.1569421,0.024076936547874395,90.0,14.646840148698884,1.234480381011963,0.0,False,True
TK1,3.8042972,8.453232,0.024076936547874395,70.0,0.37174721189591076,1.5100247859954834,0.0,False,True
CALM3,3.8002331,2.6518521,0.02417677574423979,100.0,35.79925650557621,1.9811713695526123,0.0,False,True
GINS2,3.78987,7.5397344,0.024627971460154725,70.0,0.483271375464684,1.1711881160736084,0.0,False,True
DECR1,3.789667,2.6114984,0.024627971460154725,100.0,18.28996282527881,1.1762597560882568,0.0,False,True
ITGB1BP1,3.78479,2.585967,0.02471287380255881,100.0,16.022304832713754,1.0630662441253662,0.0,False,True
PHGDH,3.7829614,6.848406,0.02471287380255881,70.0,0.483271375464684,0.7468073964118958,0.0,False,True
PGAM1,3.7758493,2.9831247,0.0251365630263319,90.0,23.308550185873607,1.7249811887741089,0.0,False,True
RAN,3.7721918,2.5365741,0.025218152838869648,90.0,48.02973977695167,2.4905965328216553,0.0,False,True
MRPS22,3.757155,3.2758274,0.02584054851950317,80.0,6.5427509293680295,0.7580933570861816,0.0,False,True
PSMA4,3.7530909,2.8910768,0.02584054851950317,90.0,13.977695167286244,1.1263585090637207,0.0,False,True
PSMG3,3.752278,3.5995095,0.02584054851950317,80.0,6.802973977695167,1.0568935871124268,0.0,False,True
NDUFS8,3.749027,2.5364735,0.025899325149517125,100.0,23.531598513011154,1.3047749996185303,0.0,False,True
PSMD7,3.7390702,2.5980754,0.026366012476247164,100.0,19.55390334572491,1.072068452835083,0.0,False,True
PSMB3,3.7360222,2.5235057,0.026366012476247164,100.0,37.80669144981413,2.0233078002929688,0.0,False,True
POMP,3.7331774,3.0344284,0.026366012476247164,90.0,15.427509293680297,1.3488730192184448,0.0,False,True
CALR,3.7329743,2.9364529,0.026366012476247164,90.0,27.472118959107807,1.9587233066558838,0.0,False,True
YWHAQ,3.728707,2.7567272,0.026366012476247164,100.0,28.401486988847584,1.6576125621795654,0.0,False,True
DHFR,3.7268782,5.7392125,0.026366012476247164,70.0,1.1524163568773234,0.7842211723327637,0.0,False,True
PSMB1,3.726472,2.2458477,0.026366012476247164,100.0,46.20817843866171,2.103231906890869,0.0,False,True
TMEM183A,3.7148895,2.9725902,0.027307761433093703,80.0,6.840148698884758,0.6666224002838135,0.0,False,True
NHP2,3.7126544,2.7617092,0.027307761433093703,90.0,23.605947955390334,1.763940453529358,0.0,False,True
ADH5,3.7096064,2.9847224,0.027372850751082017,90.0,15.390334572490708,1.2760186195373535,0.0,False,True
ANXA2,3.6852224,2.60984,0.029563116991426403,100.0,43.23420074349442,2.4389336109161377,0.0,False,True
TXNDC9,3.67872,3.2041795,0.029765401377457264,80.0,7.323420074349442,0.9470760822296143,0.0,False,True
FEN1,3.6618545,5.4479866,0.03119109491800776,70.0,2.0446096654275094,1.2991156578063965,0.0,False,True
SLC25A11,3.6598225,2.4035623,0.03119109491800776,90.0,12.453531598513012,0.8269069194793701,0.0,False,True
UBE2I,3.6588066,2.520286,0.03119109491800776,100.0,33.15985130111524,1.7500734329223633,0.0,False,True
NDUFAB1,3.6535232,2.480377,0.03119109491800776,100.0,20.03717472118959,1.141533374786377,0.0,False,True
ACAA2,3.6535232,3.1737392,0.03119109491800776,80.0,8.438661710037175,0.8783751726150513,0.0,False,True
PSMA3,3.6529138,2.7673876,0.03119109491800776,90.0,14.981412639405203,1.063328504562378,0.0,False,True
PGK1,3.636861,2.2205172,0.03234872323927803,100.0,46.91449814126394,2.199599266052246,0.0,False,True
TUBB4B,3.636861,3.3891852,0.03234872323927803,80.0,13.271375464684015,1.424439549446106,0.0,False,True
AIP,3.627514,2.7513435,0.03257491416624073,90.0,17.17472118959108,1.3559150695800781,0.0,False,True
ATP5G3,3.626701,2.3139896,0.03257491416624073,100.0,42.67657992565056,2.122169017791748,0.0,False,True
RNF139,3.6262946,2.3795319,0.03257491416624073,90.0,12.713754646840147,0.9096623063087463,0.0,False,True
MCM7,3.6242626,5.0126877,0.03257491416624073,70.0,2.899628252788104,1.1807043552398682,0.0,False,True
MT2A,3.6181667,2.811726,0.03308054882792695,90.0,31.301115241635685,2.1825757026672363,0.0,False,True
RANBP1,3.6130867,2.8092802,0.03346365662836229,90.0,28.438661710037177,1.823760986328125,0.0,False,True
HPRT1,3.610445,3.32568,0.03353589147823233,80.0,9.851301115241636,1.101264476776123,0.0,False,True
HN1,3.5966275,3.1250944,0.03475526074915645,80.0,24.052044609665426,2.0939817428588867,0.0,False,True
ANAPC5,3.595002,2.7032712,0.03475526074915645,90.0,13.977695167286244,1.132993459701538,0.0,False,True
PSMB8,3.5813875,2.3184414,0.036334043988795514,100.0,45.65055762081784,2.1550559997558594,0.0,False,True
UQCC2,3.567773,3.1541855,0.03740471754747507,80.0,8.58736059479554,1.063328504562378,0.0,False,True
RRM1,3.567773,4.4203396,0.03740471754747507,70.0,2.973977695167286,0.9096623063087463,0.0,False,True
HDAC1,3.5641155,2.8291726,0.03764493134306055,90.0,15.315985130111523,1.144237756729126,0.0,False,True
ATP1B3,3.5559876,2.794884,0.03831228019768071,90.0,16.20817843866171,1.139165997505188,0.0,False,True
NASP,3.5555813,3.0665755,0.03831228019768071,80.0,10.111524163568774,0.9337804317474365,0.0,False,True
PRDX3,3.5437956,3.854959,0.03928600213834492,80.0,13.197026022304833,1.2121026515960693,0.0,False,True
BUB3,3.5433893,2.4667447,0.03928600213834492,100.0,21.11524163568773,1.2991156578063965,0.0,False,True
SNRPE,3.5431862,2.6603906,0.03928600213834492,90.0,15.501858736059479,1.132993459701538,0.0,False,True
CCT8,3.5322134,2.7723527,0.04065823719943652,90.0,22.118959107806692,1.569460391998291,0.0,False,True
ATP5A1,3.5230694,2.3177893,0.04103553090860876,100.0,41.226765799256505,2.058594226837158,0.0,False,True
TMUB1,3.5230694,2.6202936,0.04103553090860876,80.0,8.810408921933085,0.6666224002838135,0.0,False,True
NDUFC2,3.5224597,2.777016,0.04103553090860876,90.0,25.315985130111525,1.5910494327545166,0.0,False,True
LBR,3.5222566,3.0715878,0.04103553090860876,80.0,9.368029739776953,0.9959739446640015,0.0,False,True
KPNA2,3.5129094,4.234929,0.04214522633724447,70.0,4.163568773234201,0.9337804317474365,0.0,False,True
MRPL51,3.511487,2.6985781,0.04214522633724447,90.0,20.03717472118959,1.4089035987854004,0.0,False,True
RAD51C,3.4997015,3.7559316,0.04345374357356395,70.0,3.6059479553903344,0.6779083609580994,0.0,False,True
ARHGDIA,3.482836,2.371456,0.04542863323292183,100.0,28.66171003717472,1.5716780424118042,0.0,False,True
MDH1,3.4824295,2.4164948,0.04542863323292183,100.0,23.234200743494423,1.2991156578063965,0.0,False,True
MAP2K1,3.4747078,2.5882397,0.046166915744485636,80.0,10.148698884758364,0.6666224002838135,0.0,False,True
PSMD11,3.473895,2.9858503,0.046166915744485636,80.0,9.888475836431226,1.0481536388397217,0.0,False,True
TPM4,3.4714568,3.0088675,0.046166915744485636,80.0,12.713754646840147,1.0231707096099854,0.0,False,True
ODC1,3.4710503,2.834693,0.046166915744485636,80.0,9.925650557620818,0.9470760822296143,0.0,False,True
MANF,3.4645479,3.3432808,0.04689489829824473,80.0,12.565055762081784,1.0317106246948242,0.0,False,True
GTF2A2,3.4606872,2.388773,0.04689489829824473,90.0,16.91449814126394,0.9000574350357056,0.0,False,True
EIF4A3,3.4588585,3.2054276,0.04689489829824473,80.0,11.784386617100372,1.1534981727600098,0.0,False,True
PSMD14,3.4582489,2.9766905,0.04689489829824473,80.0,10.0,1.0231707096099854,0.0,False,True
PPM1G,3.4582489,2.5633624,0.04689489829824473,90.0,15.79925650557621,1.139165997505188,0.0,False,True
SRM,3.4535751,3.148382,0.04707290550988864,80.0,12.899628252788103,1.2439966201782227,0.0,False,True
MCM3,3.4515433,3.9075043,0.04707290550988864,70.0,5.055762081784387,0.7580933570861816,0.0,False,True
ETFB,3.4511368,2.668261,0.04707290550988864,90.0,20.074349442379184,1.4062334299087524,0.0,False,True
CACYBP,3.4505272,2.80162,0.04707290550988864,90.0,19.070631970260223,1.3958810567855835,0.0,False,True
GLRX3,3.4375224,3.1226895,0.04904807234907488,80.0,12.41635687732342,1.31081223487854,0.0,False,True
RNASEH2B,3.432849,2.5416389,0.04904807234907488,90.0,16.20817843866171,1.0630662441253662,0.0,False,True
UQCRQ,3.432849,2.4670155,0.04904807234907488,100.0,28.88475836431227,1.4630614519119263,0.0,False,True
EBP,3.4263465,2.787893,0.049172628126388986,80.0,11.04089219330855,1.0481536388397217,0.0,False,True
STOML2,3.425737,3.0424755,0.049172628126388986,80.0,12.565055762081784,1.3703891038894653,0.0,False,True
ANP32A,3.4237049,2.628316,0.04925371959703233,90.0,19.36802973977695,1.2991156578063965,0.0,False,True
PPP1R7,3.4210634,2.5539773,0.049447141273750224,90.0,18.438661710037174,1.155603289604187,0.0,False,True
